role,privilege,level
KYN Agent Inventory Reader ROLE,prvActivateSynchronousWorkflow,Basic
KYN Agent Inventory Reader ROLE,prvAppendNewProcess,Global
KYN Agent Inventory Reader ROLE,prvAppendNote,Global
KYN Agent Inventory Reader ROLE,prvAppendToAsyncOperation,Basic
KYN Agent Inventory Reader ROLE,prvAppendToNewProcess,Global
KYN Agent Inventory Reader ROLE,prvAppendToNote,Global
KYN Agent Inventory Reader ROLE,prvAppendToTranslationProcess,Global
KYN Agent Inventory Reader ROLE,prvAppendToWorkflow,Global
KYN Agent Inventory Reader ROLE,prvAppendToWorkflowSession,Basic
KYN Agent Inventory Reader ROLE,prvAppendTokyn_Suscripcionesdeinformes,Global
KYN Agent Inventory Reader ROLE,prvAppendTokyn_agenttenantwide,Global
KYN Agent Inventory Reader ROLE,prvAppendTranslationProcess,Global
KYN Agent Inventory Reader ROLE,prvAppendWorkflow,Basic
KYN Agent Inventory Reader ROLE,prvAppendWorkflowSession,Basic
KYN Agent Inventory Reader ROLE,prvAppendkyn_Suscripcionesdeinformes,Global
KYN Agent Inventory Reader ROLE,prvAppendkyn_agenttenantwide,Global
KYN Agent Inventory Reader ROLE,prvAssignAsyncOperation,Basic
KYN Agent Inventory Reader ROLE,prvAssignWorkflow,Basic
KYN Agent Inventory Reader ROLE,prvAssignWorkflowSession,Basic
KYN Agent Inventory Reader ROLE,prvCreateNewProcess,Global
KYN Agent Inventory Reader ROLE,prvCreateNote,Basic
KYN Agent Inventory Reader ROLE,prvCreateSharePointData,Global
KYN Agent Inventory Reader ROLE,prvCreateTranslationProcess,Global
KYN Agent Inventory Reader ROLE,prvCreateUserApplicationMetadata,Basic
KYN Agent Inventory Reader ROLE,prvCreateUserEntityUISettings,Basic
KYN Agent Inventory Reader ROLE,prvCreateUserQuery,Basic
KYN Agent Inventory Reader ROLE,prvCreateUserQueryVisualizations,Basic
KYN Agent Inventory Reader ROLE,prvCreatekyn_Suscripcionesdeinformes,Global
KYN Agent Inventory Reader ROLE,prvDeleteNewProcess,Global
KYN Agent Inventory Reader ROLE,prvDeleteNote,Basic
KYN Agent Inventory Reader ROLE,prvDeleteTranslationProcess,Global
KYN Agent Inventory Reader ROLE,prvDeleteUserApplicationMetadata,Basic
KYN Agent Inventory Reader ROLE,prvDeleteUserEntityUISettings,Basic
KYN Agent Inventory Reader ROLE,prvDeleteUserQuery,Basic
KYN Agent Inventory Reader ROLE,prvDeleteUserQueryVisualizations,Basic
KYN Agent Inventory Reader ROLE,prvDeleteWorkflow,Basic
KYN Agent Inventory Reader ROLE,prvDeleteWorkflowSession,Basic
KYN Agent Inventory Reader ROLE,prvDeletekyn_Suscripcionesdeinformes,Global
